"AnnotationId","AnnotationDescription","AnnotationMeasurementType","AnnotationGeometryType","AnnotationDateCreated","AnnotationDateModified","AnnotationLabel","AnnotationElevation","AnnotationLatAndLong","AnnotationNorthingAndEasting","AnnotationProjection","AnnotationTemperature","AnnotationLength","AnnotationHorizontalLength","AnnotationSurfaceLength","AnnotationVertical","AnnotationSlope","AnnotationDimensionLength","AnnotationDimensionWidth","AnnotationArea","AnnotationSurfaceArea","AnnotationCut","AnnotationFill","AnnotationNetVolume","Tolerance","AnnotationCount","AnnotationRadius","AnnotationPerimeter","AnnotationLink"
"6a7e20acf1248caaa356f9ee","Observation: Reduced crop vigour: Likely cause: Soil fertility: Recommendation: Soil testing to identify nutrient deficiencies and guide the correct fertilizer application for improved plant growth","AREA","polygon","2026-08-13T19:53:16.310000","2026-08-14T12:49:08.646000","#f50057","","","","WGS 84 / UTM zone 37N (metre)","","","","","","","","","3.76 ac","4.20 ac","16165.20 yd³","804.22 yd³","-15360.98 yd³","","","","","https://www.dronedeploy.com/app2/sites/6a7dd6a0a60988d0086feb31/maps/6a7dd792b71c696815f14caa/annotations?view=Annotation&viewId=6a7e20acf1248caaa356f9ee"
"6a7e21f6245583e5ef44660c","Observation: Uneven growth likely cause: Water Stress low pressure at the end of the drip line which cause slow growth/emergence of the potatoes in that section Recommendation:  compare water collected in this section with the healthy section and adjust irrigation accordingly","AREA","polygon","2026-08-13T19:58:46.776000","2026-08-17T12:34:27.605000","#f50057","","","","WGS 84 / UTM zone 37N (metre)","","","","","","","","","1.35 ac","1.44 ac","200.19 yd³","600.49 yd³","400.30 yd³","","","","","https://www.dronedeploy.com/app2/sites/6a7dd6a0a60988d0086feb31/maps/6a7dd792b71c696815f14caa/annotations?view=Annotation&viewId=6a7e21f6245583e5ef44660c"
"6a7e273db057a7c3903a3d0c","Observation: Reduced crop vigour, weeds overgrowth: Likely cause: soil fertility: Recommendation:  soils testing to identify nutrient deficiencies and guide the correct fertilizer application for improved plant growth and weeding","AREA","polygon","2026-08-13T20:21:17.876000","2026-08-14T12:48:43.011000","#f50057","","","","WGS 84 / UTM zone 37N (metre)","","","","","","","","","2.54 ac","2.72 ac","","","","","","","","https://www.dronedeploy.com/app2/sites/6a7dd6a0a60988d0086feb31/maps/6a7dd792b71c696815f14caa/annotations?view=Annotation&viewId=6a7e273db057a7c3903a3d0c"
"6a7e353b4ec72d71efff5123","Observation: uneven germination, weeds. Likely cause: overmounding/ too much soil cover, water stress. Recommendation:  Reduce soil cover and maintain proper mound height. Oversee the process to avoid overmounding.","AREA","polygon","2026-08-13T21:20:59.195000","2026-08-17T12:33:29.700000","#f50057","","","","WGS 84 / UTM zone 37N (metre)","","","","","","","","","4.09 ac","4.48 ac","","","","","","","","https://www.dronedeploy.com/app2/sites/6a7dd6a0a60988d0086feb31/maps/6a7dd792b71c696815f14caa/annotations?view=Annotation&viewId=6a7e353b4ec72d71efff5123"
"6a7e3a9e18473bab3dcd1587","Observation: Poor emergence Likely cause: Water stress: Recommendation: Fixing drip line on the ridge","AREA","polygon","2026-08-13T21:43:58.010000","2026-08-17T12:26:45.416000","#f50057","","","","WGS 84 / UTM zone 37N (metre)","","","","","","","","","1000.18 ft²","1107.63 ft²","","","","","","","","https://www.dronedeploy.com/app2/sites/6a7dd6a0a60988d0086feb31/maps/6a7dd792b71c696815f14caa/annotations?view=Annotation&viewId=6a7e3a9e18473bab3dcd1587"
"6a7e3b609abb2da9be172720","Observation: weeds Likely cause:   Recommendation: weeding","AREA","polygon","2026-08-13T21:47:12.888000","2026-08-17T11:44:22.627000","#f50057","","","","WGS 84 / UTM zone 37N (metre)","","","","","","","","","329.92 ft²","366.87 ft²","","","","","","","","https://www.dronedeploy.com/app2/sites/6a7dd6a0a60988d0086feb31/maps/6a7dd792b71c696815f14caa/annotations?view=Annotation&viewId=6a7e3b609abb2da9be172720"
"6a7e4084e626dc090f07ad86","Observation: Poor plant vigour: Likely cause: Soil condition, nutrient uptake: Recommendation: Soil testing to identify nutrient deficiencies and guide the correct fertilizer application for improved plant growth","AREA","polygon","2026-08-13T22:09:08.403000","2026-08-17T11:43:54.588000","#f50057","","","","WGS 84 / UTM zone 37N (metre)","","","","","","","","","3.67 ac","3.97 ac","","","","","","","","https://www.dronedeploy.com/app2/sites/6a7dd6a0a60988d0086feb31/maps/6a7dd792b71c696815f14caa/annotations?view=Annotation&viewId=6a7e4084e626dc090f07ad86"
"6a7e40bfbf86a5a8d89187d9","Observation: Poor plant vigour.  Likely cause: Soil condition. Recommendation: Soil testing.","AREA","polygon","2026-08-13T22:10:07.846000","2026-08-17T12:33:51.402000","#f50057","","","","WGS 84 / UTM zone 37N (metre)","","","","","","","","","0.89 ac","0.99 ac","","","","","","","","https://www.dronedeploy.com/app2/sites/6a7dd6a0a60988d0086feb31/maps/6a7dd792b71c696815f14caa/annotations?view=Annotation&viewId=6a7e40bfbf86a5a8d89187d9"
"6a7e4123959e4357003bfe7b","Observation: Poor plant vigour, red soil: Likely cause: Soil condition/fertility: Recommendation: Soil testing to identify nutrient deficiencies and guide the correct fertilizer application for improved plant growth","AREA","polygon","2026-08-13T22:11:47.330000","2026-08-14T12:48:58.972000","#f50057","","","","WGS 84 / UTM zone 37N (metre)","","","","","","","","","3.01 ac","3.48 ac","","","","","","","","https://www.dronedeploy.com/app2/sites/6a7dd6a0a60988d0086feb31/maps/6a7dd792b71c696815f14caa/annotations?view=Annotation&viewId=6a7e4123959e4357003bfe7b"
"6a7ee7af4073dc63b95223f5","Observation: Poor plant vigour: Likely cause: Soil condition: Recommendation: Soil testing","AREA","polygon","2026-08-14T10:02:23.355000","2026-08-14T12:48:51.258000","#f50057","","","","WGS 84 / UTM zone 37N (metre)","","","","","","","","","0.41 ac","0.45 ac","","","","","","","","https://www.dronedeploy.com/app2/sites/6a7dd6a0a60988d0086feb31/maps/6a7dd792b71c696815f14caa/annotations?view=Annotation&viewId=6a7ee7af4073dc63b95223f5"
